CATEGORY;OEM;BRAND;MODEL;YEAR;GENERATION;GEN_START;GEN_END;ENGINE;ENGINE_VOLUME;ENGINE_TYPE;BODY_TYPE;TRANSMISSION;PRODUCT_CATEGORY;TITLE;ID;STATE;DESCRIPTION;PRICE;CURRENCY;NDS;DISCOUNT;CITY;PHONE;PHOTO;VIDEO;IMPORTER
Пульт управления мультимедиа;a2208202889;"Mercedes";S W220;2002;;;;Бензин;4.3;;;АКПП;;;SA000009;0;Оригинальная запчасть из Европы в хорошем состоянии.;;BYN;;;;;https://i.ibb.co/Y7WsjzFg/80bdc3-scaled-37e3f5f6-2403-41df-a129-5e3b968cc1e6794580000442925086.jpg,https://i.ibb.co/Y7kfTZjq/761e7c-scaled-f24d1d6f-ce09-4608-9444-38578e264bf42948860738221955106.jpg;;
Фара левая;3C8941006F;"Volkswagen";Passat CC;2010;I;;;;;;;;;;AVcc005;0;Америка. Левый руль. Оригинал. Дефект крепления(отсутсвует).Состояние на фото. Галоген.;226;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5948/9024.avif,https://avcdn.av.by/advertbig/0014/5948/9079.avif,https://avcdn.av.by/advertbig/0014/5948/9094.avif,https://avcdn.av.by/advertbig/0014/5948/9109.avif,https://avcdn.av.by/advertbig/0014/5948/9119.avif,https://avcdn.av.by/advertbig/0014/5948/9124.avif,https://avcdn.av.by/advertbig/0014/5948/9129.avif";;
Пыльник рулевой системы;1H1419523;"Volkswagen";Golf;1995;III;;;Дизель;1900;;;;;;AV114926308;0;Оригинальная запчасть в хорошем состоянии.;24;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5599/5904.avif,https://avcdn.av.by/advertbig/0014/5599/6009.avif,https://avcdn.av.by/advertbig/0014/5599/6080.avif";;
Датчик парктроника;1S0919275C;Audi;A6;2014;C7 · Рестайлинг;;;;;;;;;;AV114884873;0;Оригинальная запчасть из Европы в хорошем состоянии.;36;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5599/5679.avif,https://avcdn.av.by/advertbig/0014/5599/5799.avif";;
Бачок омывателя;3B0955453;"Volkswagen";Passat;;B5;;;;;;;;;;AV114920449;0;Оригинальная запчасть из Европы в хорошем состоянии. С датчиком уровня жидкости. Цена за деталь в сборе как на фото.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5599/5794.avif,https://avcdn.av.by/advertbig/0014/5599/5909.avif,https://avcdn.av.by/advertbig/0014/5599/6019.avif,https://avcdn.av.by/advertbig/0014/5599/6134.avif";;
Датчик парктроника;1S0919275C;Audi;A6;2014;C7;;;;;;;;;;AV114884873;0;Оригинальная запчасть из Европы в хорошем состоянии.;36;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5599/5679.avif,https://avcdn.av.by/advertbig/0014/5599/5799.avif";;
Молдинг стекла двери передней левой наружный;;"Nissan";"Almera Tino";2003;I · Рестайлинг;;;Дизель;2200;;;;;;AV110681070;0;Под стекло;45;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5599/5754.avif,https://avcdn.av.by/advertbig/0014/5599/5898.avif";;
Молдинг стекла двери передней левой наружный;;"Nissan";"Almera Tino";2003;I;;;Дизель;2200;;;;;;AV110681070;0;Под стекло;45;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5599/5754.avif,https://avcdn.av.by/advertbig/0014/5599/5898.avif";;
Датчик парктроника;A2208850067,0015425918;"Mercedes-Benz";S-Класс;2002;W220;;;Дизель;3200;;;;;;AV114884961;0;В сборе с кронштейном. Оригинальная запчасть из Европы в хорошем состоянии. Цена за единицу.;45;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5599/5612.avif,https://avcdn.av.by/advertbig/0014/5599/5688.avif,https://avcdn.av.by/advertbig/0014/5599/5804.avif";;
Датчик расхода воздуха;03G906461;"Volkswagen";Passat;;B6;;;Дизель;2000;;;;;;AV114901582;0;Оригинальная запчасть из Европы в хорошем состоянии. Цена за деталь в сборе как на фото.;48;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5599/5479.avif,https://avcdn.av.by/advertbig/0014/5599/5564.avif";;
Суппорт задний правый;;"Nissan";"Almera Tino";2001;I;;;Дизель;2200;;;МКПП;;;AV114904293;0;Оригинальная запчасть в хорошем состоянии. Ручник работает, прокачка откручивается, пыльники целые, направляющие поршень ок.;71;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5599/4559.avif,https://avcdn.av.by/advertbig/0014/5599/4654.avif,https://avcdn.av.by/advertbig/0014/5599/4754.avif,https://avcdn.av.by/advertbig/0014/5599/4849.avif,https://avcdn.av.by/advertbig/0014/5599/4964.avif";;
Суппорт задний левый;;"Nissan";"Almera Tino";2001;I;;;Дизель;2200;;;МКПП;;;AV114908427;0;Оригинальная запчасть в хорошем состоянии. Прокачка откручивается, ручник работает, пыльники целые, направляющие цилиндр работают.;71;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertbig/0014/5599/4624.avif,https://avcdn.av.by/advertbig/0014/5599/4704.avif,https://avcdn.av.by/advertbig/0014/5599/4814.avif,https://avcdn.av.by/advertbig/0014/5599/5014.avif";;
